epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2380.31,1.38487,4.1723,1.23209,0.55788,0.07597,0.08753,0.06397,1.30361,3.00362,1.1368,6.1492e-05,6.1492e-05,6.1492e-05
2,4839.13,1.45448,3.10796,1.25806,0.66259,0.16825,0.18248,0.13001,1.32387,2.44475,1.14599,8.25163e-05,8.25163e-05,8.25163e-05
3,7271.83,1.46604,2.75967,1.27039,0.62057,0.22061,0.22302,0.15682,1.30283,2.24682,1.13823,6.28406e-05,6.28406e-05,6.28406e-05
